,user_a,user_b
91,Mày có thích chơi game không?,Có ai mà không chơi đâu
92,Cậu thích chơi đá banh không?,Có.
93,Mày thích gì?,Tao thích mày.
94,Mày có thích chơi game không?,Có ai mà không chơi đâu
95,Cậu thích chơi đá banh không?,Có.
96,Mày thích gì?,"Coi phim, nghe nhạc, chơi bóng đá,..."
97,Mày thích phim nào?,Transformers
98,Thích nhân vật nào?,Optimus Prime
99,Thích ca sĩ nào?,Isaac
100,Thích cầu thủ nào?,Cristiano Ronaldo
101,Mày có thích chơi thể thao không?,đương nhiên là có
102,Môn thể thao yêu thích nhất là gì ?,môn nào cũng thích
103,Mày có từng đi thi đấu không?,có 2 lần giải nhất thành phố rồi
104,Mày có thích xem phim không?,xem phim là trùm
105,Thể loại yêu thích nhất là gì?,"gây cấn, hack não, khoa học viễn tưởng"
106,Thích loại phim gì ?,Nhiều loại lắm
107,Chơi môn thể thao gì ?,Bóng đá
108,Hay đi chơi thể thao không ?,Chơi lúc rảnh rỗi
109,Thường đi chơi thể thao ở đâu ?,Sân bóng đá
110,Bạn có chơi thể thao mạo hiểm không ?,Không. Mình hơi nhát
111,Phim không ?,Phim gì ?
112,Hay chơi đá banh không ?,Không
113,Đi đánh cầu ?,"Ở đâu, mấy giờ"
114,Rảnh làm gì ?,Chơi game
115,Net không ?,Chừng nào
116,Mày có thích chơi thể thao không?,thể thao điện tử
117,Mày có từng đi thi đấu không?,giải ao làng
118,Thể loại yêu thích nhất là gì?,abc xyz
119,ông thích làm gì khi rảnh,tui thích đá bóng
120,Thích nhất gì?,Ăn
121,Thích chơi thể thao không?,Hơi hơi
122,Thích nhất môn nào?,Cầu lông
123,Thích ăn gì nhất,Món nào nào ngon là thích
124,Có thích xem phim không?,Có
125,Phim thích nhất tên gì?,Điều tuyệt vời nhất của chúng ta (With you)
126,Thích nhân vật nào trong phim đó?,Dư Hoài và Cảnh Cảnh
127,Thể loại phim mà bạn thích xem là gì?,Hành động
128,Bạn thường chụp ảnh lúc nào?,Lúc cảnh đẹp
129,Môn thể thao mà bạn thích chơi nhất?,Cầu lông
130,Bạn thường làm gì lúc rảnh rỗi?,"Coi phim, nghe nhạc"
131,Món ăn mà bạn thích là gì?,"Chả giò, cơm tấm"
132,Sở thích là gì?,nghe nhạc.
133,có hay chơi thể thao không?,"đá bóng,thứ 3 hàng tuần."
134,có thích bóng rổ không?,không biết chơi.
135,có thường đi du lịch với bạn bè không?,vừa đi đà lạt hồi tháng 6.
136,thường làm gì trong thời gian rảnh?,"xem phim, nghe nhạc học một số nhạc cụ."
137,có thích làm producer về lĩnh vực âm nhạc không?,thích
138,Có ghét ăn sầu riêng không?,không sầu riêng ngon gần chết.
139,Bạn có thích có người yêu khoong?,Có
140,Bạn có biết bơi không?,Có
141,Bạn thích chơi môn thể thao gì nhaats?,Đá banh
142,Mày thích gì ?,đá banh
143,Thích xem phim không ?,thích
144,Thích phim gì ?,hài
145,Xem ở nhà hay ra rạp ?,nhà
146,Xem một mình hay nhiều người ?,cả hai
147,Thích đi du lịch không ?,có
148,Trong nước hay nước ngoài ?,cả hai
149,Đi một mình hay nhiều người ?,cả hai
150,Đi bằng gì ?,tùy
151,Mày thích gì ?,đá banh
152,Thích xem phim không ?,thích
153,Thích phim gì ?,hài
154,Xem ở nhà hay ra rạp ?,nhà
155,Xem một mình hay nhiều người ?,cả hai
156,Thích đi du lịch không ?,có
157,Trong nước hay nước ngoài ?,cả hai
158,Đi một mình hay nhiều người ?,cả hai
159,Đi bằng gì ?,tùy
160,Mày thích gì ?,đá banh
161,Thích xem phim không ?,thích
162,Thích phim gì ?,hài
163,Xem ở nhà hay ra rạp ?,nhà
164,Xem một mình hay nhiều người ?,cả hai
165,Thích đi du lịch không ?,có
166,Trong nước hay nước ngoài ?,cả hai
167,Đi một mình hay nhiều người ?,cả hai
168,Đi bằng gì ?,tùy
169,Thích đánh cờ không ?,Thích
170,Thích cờ gì?,Cờ bạc
171,Có thi đấu không?,Sắp bay mấy cái nhà
172,Mày có thích xem phim không?,Kó
173,Thể loại nhạc mày thích?,nhạc đám
174,Sở thích của bạn là gì?,thể thao
175,Bạn có thích xem phim không?,thích
176,Bạn thích xem thể loại phim gì nhất?,kinh dị
177,Bạn có thích chơi thể thao không?,thích
178,Bạn có huy chương không?,Có
179,bạn thích coi phim gì?,18+
180,Bạn thích chơi thể thao không?,thích
181,Sao bạn lại thích chơi game?,vui
182,bạn đi đâu nếu bạn rãnh?,thể dục
183,Bạn có bao giờ nghĩ bạn sẽ có một sợ thích khác?,không
184,Mày thích gì?,Tao thích mày.
185,Mày có thích chơi game không?,Có ai mà không chơi đâu
186,Cậu thích chơi đá banh không?,Có.
187,thích phim gì?,mavel
188,thích con gì?,mèo
189,khi rảnh làm gì?,ngủ
190,sở thích có vô bổ không?,không
191,sở thích hữu dụng ra sao?,vô dụng cứt
192,bạn là weibu à ?,yup
193,Bạn thích gì?,Đủ thứ hết
194,Thích xem phim không?,Lúc rãnh thì có
195,Thích xem thể loại gì nhất?,Ma
196,Thích xem phim nào nhất?,Titanic
197,Sao thích phim này?,Cảnh đẹp
198,Có hay chơi thể thao không?,Có chứ
199,Tại sao thích thể thao?,Cho khoẻ người
200,Điều gì khiến bạn có sở thích như vậy?,Tại thấy người khác tập cũng vui
201,Mày có thích chơi thể thao không?,Kó
202,Thích chơi môn gì ?,Chơi tất tay
203,Có giải gì chưa?,1 giải ao làng với 1 giải giếng làng
204,Mày có thích xem phim không?,Chúa phim đây
205,Thể loại yêu thích nhất là gì?,gì cũng coi
206,Trường nào?,TĐT
207,Học gì,CNTT
208,Học vui không,Vui
209,Học chi,Đi làm
210,Nợ nhiêu môn rồi,Nhiều
211,học hành sao?,ổn
212,trường nào?,Tôn Đức Thắng
213,đường nào?,Nguyễn Hữu Thọ
214,quận mấy?,Bảy
215,thành phố?,Hồ Chí Minh
216,ngành gì?,Kỹ thuật phần mềm
217,học phí nhiêu?,Mười mấy triệu một kỳ
218,tốt không?,Cũng ổn
219,học sinh gì?,Khá
220,kết quả sao?,Cũng được
221,giáo viên sao?,Tùy người
222,dạy ổn không?,Cũng ổn
223,bạn bè sao?,Bình thường
224,học hành sao?,trung bình cộng
225,trường nào?,TÔn đức thắng
226,đường nào?,Nguyễn Hữu Thọ
227,quận mấy?,quận 7
228,phường nào?,tân phong
229,thành phố?,hồ chí minh
230,ngành gì?,Công nghệ thông tin
231,học phí nhiêu?,16 triệu 1 kỳ
232,tốt không?,cũng bình thường
233,học sinh gì?,học sinh trunh bình
234,kết quả sao?,7.0
235,giáo viên sao?,giáo viên ổn
236,dạy ổn không?,dạy cũng bình thường
237,bạn bè sao?,bạn bè cũng tuyệt vời
238,Học gì?,Học hành
239,học ở đâu?,Ở đây
240,Học giỏi hay dở?,học hay
241,Bạn học gì?,Công nghệ thông tin
242,Học trường nào?,Tôn Đức thắng
243,Ở đâu?,Quận 7
244,Học thế nào?,Bình thường
245,Nợ môn chưa?,Rồi.
246,Học phí đắt không?,Khá đắt
247,anh học trường nào?,tôi học trường Đại Học Sài Gòn
248,trường đó ở đâu?,trường đó ở Sài Gòn
249,anh học như thế nào?,tôi học rất sad
250,Đang học cái gì?,học kinh doanh
251,Học trường nào thế?,Đại học Thủy Lợi
252,Đi học kiểu gì?,bắt xe buýt
253,Học ở đâu lận?,quận Bình Thạnh lận
254,Rớt mấy môn?,5 môn rồi
255,Mày học năm mấy?,tao năm 2
256,Nào ra trường?,may thì 2 năm nữa
257,học gì?,học Công Nghệ Thông Tin
258,học ở đâu?,học Tôn Đức Thắng
259,học sao rồi?,sắp tốt nghiệp
260,thích môn gì?,IOT
261,Trường gì?,TDT
262,học trường gì?,Tôn Đức Thắng
263,trường ở đâu?,Quận 7
264,học nhiều môn không?,Không
265,học ngành gì?,Khoa học máy tính
266,đang học năm mấy?,Năm 3
267,ông đang học đh rồi hả?,"đúng rồi nè, học 3 năm rồi á"
268,ông học ngành gì á?,tui học khoa học máy tính
269,ông học trường đh nào á?,tui học tdtu á
270,ông đang là sv năm mấy gòy?,tui sv năm 3 rồi
271,ông học ngành này là hồi đó ông thích hay s?,học ngành này là do đam mê từ hồi nhỏ á
272,Học ngành gì?,IT
273,Học ở đâu?,TDTU
274,Sắp ra trường chưa?,Chưa
275,Thích học môn gì?,Lập trình OOP
276,Ghét học môn gì?,Xử lý ngôn ngữ tự nhiên
277,Khi nào ra đi làm?,Khi có tiền mua bằng
278,Có bao giờ rớt môn không?,Học 3 môn rớt 1 môn
279,Học gì?,học giỏi
280,ở đâu?,Tôn đức thắng
281,học thế nào?,học giỏi
282,học gì?,đại học.
283,ở đâu?,ở thành phố.
284,học như nào?,học được
285,mày học ngành gì?,t học cntt á
286,học ở đâu?,t học ở tdtu :))))
287,học sao?,cũng okie thôi à :)))) hơi quằng
288,được học lực gì?,"hồi học kì trước tui loại khá :"">"
289,mày học lớp nào?,tao học lớp 303
290,Giờ mày đi học hay đi làm?,Đi học
291,Mày học ở đâu?,Hỏi làm gì
292,Mày học năm mấy?,3
293,Rớt môn nào chưa?,Rớt môn như lá mùa thu
294,Mày học môn gì đó?,Hỏi rồi mày cũng có biết đâu
295,mày học ngu lắm phải không ?,khôn hơn mày là được
296,mày học ở đâu ?,đại học TDT
297,mày học lớp nào ?,18h50302
298,mày ghét môn gì nhất ?,no comment
299,mày thích môn gì nhất ?,no comment
300,Học ngành gì ?,IT
301,đang ở đâu (gia đình hay một mình) ?,ở đâu còn lâu mới nói
302,"học hành như thế nào ( Giỏi, Khá ,Trung bình , Yếu )?",học bình thường
303,Ê học gì vậy?,Tớ đang học Xử lý ngôn ngữ
304,Mày học thế nào?,Đủ qua môn
305,Mày học ở đâu?,Học ở Đại Học Tôn Đức Thắng.
306,Mày nghĩ gì mà học như vậy?,Nghĩ về tương lai mái nhà và những đứa trẻ.
307,Ê học gì vậy?,Tớ đang học Xử lý ngôn ngữ
308,Mày học thế nào?,Đủ qua môn
309,Mày học ở đâu?,Học ở Đại Học Tôn Đức Thắng.
310,Mày nghĩ gì mà học như vậy?,Nghĩ về tương lai mái nhà và những đứa trẻ.
311,Mày đang học gì?,IT
312,Mày học giỏi không?,Cũng tạm
313,Mày học trường nào?,Đại học Tôn Đức Thắng
314,Học khó không?,Dễ
315,Rớt môn chưa?,8 môn
316,Học lớp mấy?,học lớp 5
317,Học ở đâu?,ở Việt Nam
318,Học lực thế nào?,học sinh xuất sắc
319,Học giỏi nhất môn gì?,tiếng việt
320,Ghét nhất môn gì?,ghét tất cả
321,Học ở trường nào ?,Đại học Tôn Đức Thắng
322,Bạn học ngành gì ở trường ?,Khoa học máy tính
323,Học tốt không ?,Là học sinh giỏi ở trường
324,Có học thêm bên ngoài không ?,Học tiếng anh ở ngoài
325,Thích môn nào nhất ?,Java
326,Rớt môn nào chưa ?,Rớt 2 môn
327,Bạn học chuyên ngành gì ?,Học Mỹ Thuật Công Nghiệp
328,Bạn vẫn đang học đại học hay đã ra trường?,Tao không học đại học
329,Bạn đã được thành tích gì trong trường?,Có học đâu mà có
330,Điểm trung bình học kỳ gần nhất bạn bao nhiêu điểm?,Năm 12 t 8.7
331,Bạn đang học trường nào ?,T đang học ở TDT
332,Học năm mấy?,năm 3
333,Có được học bổng khôg?,2 cái
334,Ghét nhất môn gì?,ghét tất cả
335,Bạn học ở đâu?,Đại học Tôn Đức Thắng
336,Bạn học gì?,Công nghệ thông tin
337,Học trường nào vậy?,Trường đại học Buôn Ma Thuột
338,Học ngành gì?,Dược
339,Thích môn nào nhất?,Dược liệu.
340,Ghét môn nào nhất?,Hóa sinh
341,Bạn đang học ngành gì?,Học làm người
342,Bạn có học giỏi Toán không?,Tất nhiên là không
343,Bạn thích học môn nào nhất?,Môn xử lý ngôn ngữ tự nhiên
344,Bạn học yếu môn nào nhất ở trường?,Môn Văn vở
345,Bạn đang là sinh viên năm mấy?,Mình sinh viên năm 3
346,Bạn học lớp mấy?,Mình học lớp 15
347,đang học ngành gì ?,ngành công nghệ thông tin
348,thường học ở toà nào ?,toà D
349,học chuyên ngành gì ?,học khoa học máy tính
350,đang là sinh viên năm mấy?,năm 3
351,thích ngành đó không ?,có
352,Học ở đâu,Học ở học viện RMIT.
353,Đang học cấp mấy ?,Cấp Đại Học
354,Học trường nào ?,TDTU
355,Học lực ra sao ?,Khá Giỏi nha
356,Áp lực không ?,Rất
357,Ghét môn học nào ?,Kỹ năng phát triển bền vừng
358,Học trường nào?,Tôn Đức thắng
359,Ngành gì?,Công Nghệ Thông Tin
360,Năm mấy ?,năm 3
361,Học giỏi không?,không
362,Rớt bao nhiều môn rồi ?,hỏi chi
363,Học trường nào?,Tôn Đức thắng
364,Ngành gì?,Công Nghệ Thông Tin
365,Năm mấy ?,năm 3
366,Học giỏi không?,không
367,Rớt bao nhiều môn rồi ?,hỏi chi
368,Học trường nào?,Tôn Đức thắng
369,Ngành gì?,Công Nghệ Thông Tin
370,Năm mấy ?,năm 3
371,Học giỏi không?,không
372,Rớt bao nhiều môn rồi ?,hỏi chi
373,Lớp mấy?,lớp 1
374,Học ở đâu?,Sài gòn
375,Giỏi không ?,giỏi
376,Giỏi gì?,giỏi chơi
377,Ghét gì không?,mọi thứ
378,Bạn đang học cấp bậc nào?,Đại học
379,Bạn học trường gì?,TDT
380,Trường bạn ở đâu?,Q7
381,Học phí trường bạn có mắc không?,trung
382,Cơ sở hạ tầng có tốt không?,tốt
383,Trường bạn có nhiều gái xinh không?,nhiều
384,bạn đang học ở đâu?,Mỹ
385,Bạn học giỏi không?,ngu
386,Bạn học lớp mấy?,12
387,Bạn có tính đi du học không ?,Không
388,Đang học gì?,Học NLP
389,Mày học thế nào?,Đủ qua môn
390,Mày học ở đâu?,Đại Học Tôn Đức Thắng.
391,bạn ngành gì?,cs
392,bạn học chỗ nào?,tdt
393,bạn học sao rồi?,ổn
394,học môn gì vậy?,nlp
395,ê ra trường chưa?,chưa
396,bạn tính sao rồi?,ổn
397,Bạn học ở đâu?,RMIT
398,Bạn có rớt môn không?,"Không,rất tốt"
399,Trường ở đâu?,Tp.HCM
400,Bạn học thế nào?,Giỏi
401,Lớp đông không?,20 người
402,Bạn bè thế nào?,câu hỏi không rõ ràng không trả lời
403,Học áp lực không?,áp lưc quá đi chứ
404,Trường có nhiều hoạt động không?,ko
405,Ấn tượng về trường?,Giàu
406,Điều gì ở trường nhất bạn thích?,Phòng máy
407,Môn nào cảm thấy tự tin?,Tương lai của nhân loại
408,Lớp mấy?,lớp 15
409,Học ở đâu?,Ở đây
410,Học sao?,Thích học sao học
411,Giỏi môn gì?,tiếng Việt
412,Ghét môn gì?,ghét hết
413,mày tên gì?,Hùng
414,bao tuổi,20
415,họ tên là gì ?,Hà Công Thành
416,nhiêu tuổi ?,22
417,sở thích thì sao ?,chơi game với xem phim
418,quê mày ở đâu ?,Đà Nẵng
419,mày đang học ở đâu ?,"trường đại học Tôn Đức Thắng, quận 7"
420,mày cao nhiêu ?,1 mét 63
421,"Chào nhé, bạn tên gì nhỉ?",tên Cường nhé
422,Bạn bao tuổi?,năm nay là 22 tuổi
423,Quê quán?,Thái Bình
424,Thích ăn gì?,"thích ăn nhiều món lắm, ngon là ăn."
425,Có bạn gái chưa?,Chưa!!!
426,học ở đâu?,đang học ở trường Tôn Đức Thắng
427,số điện thoại,0938410364.
428,học nghành nào,nghành khoa học máy tinh
429,học khoa nào,khoa công nghệ thông tin
430,học trường nào? khoá mấy,trường đại học Tôn Đức thắng và khoá 21
431,tên là gì,Khoa
432,sinh năm mấy?,1999
433,bao nhiêu tuổi?,21 tuổi
434,Tên gì?,Lan Anh.
435,Tên gì?,Tuấn Duy.
436,Địa chỉ?,Kha Vạn Cân.
437,Địa chỉ?,Gò Vấp.
438,Nhà ở đâu?,Trái Đất.
439,Nhà ở đâu?,Việt Nam.
440,Nhà ở đâu?,Nhật Bản.
441,Tên gì?,Lan Anh.
442,Tên gì?,Tuấn Duy.
443,Địa chỉ?,Kha Vạn Cân.
444,Địa chỉ?,Gò Vấp.
445,Nhà ở đâu?,Trái Đất.
446,Nhà ở đâu?,Việt Nam.
447,Nhà ở đâu?,Nhật Bản.
448,"Chào nhé, bạn tên gì nhỉ?",Tôi tên Tuấn
449,Bạn bao tuổi?,Tôi năm nay 21 tuổi
450,Quê quán?,Ninh Thuận
451,Thích ăn gì?,Ăn kem.
452,Có bạn gái chưa?,Chưa có nha!
453,tên mày là gì?,Hưng
454,bao nhiêu tuổi?,21
455,đang học hay đi làm?,đang học
456,sinh viên trường nào?,Đại học Tôn Đức Thắng
457,ngành gì mày?,công nghệ thông tin
458,quê mày ở đâu?,Quảng Nam
459,ở kí túc xá hay ở ngoài?,Kí túc xá
460,có xài facebook hay zalo chi không?,có xài facebook nhen
461,cho xin nick facebook được hem?,"okay, nick face là nxhung0405."
462,cho xin sđt để tiện liên lạc được không,0917234872.
463,Tên gì?,Quang Minh
464,Địa chỉ?,CMT8.
465,Địa chỉ?,Tân Bình.
466,Nhà ở đâu?,Sài Gòn.
467,Nhà ở đâu?,Việt Nam.
468,Nhà ở đâu?,Nhật Bản.
469,mày tên gì?,Cường
470,bao tuổi ?,20
471,Ngoại hình ?,Ổn
472,giới tính ?,XY
473,Địa chỉ nhà ?,không nhớ
474,số điện thoại ?,0120000
475,Học đại học gì  ?,TDTU
476,mày tên gì?,Phúc
477,bao tuổi,20
478,đang học ở đâu?,TDTU
479,đang đi học hay đi làm?,Đang học ở TDTU
480,ước mơ sau này làm gì?,Lập trình viên làm về web lương nghìn đô
481,bạn tên gì ?,Nam
482,Nhiêu tuổi rồi ?,22
483,học khoa nào ?,CNTT
484,nào ra trường ?,năm sau
485,có bồ chưa ?,có rồi
486,mày tên gì?,Hùng
487,bao tuổi,20
488,đang ở đâu?,Hồ Chí Minh
489,đang làm gì?,sinh viên
490,mày tên gì?,Hùng
491,bao tuổi,20
492,nhà mấy người?,5
493,bạn thân tên gì?,Mai Anh
494,học lớp mấy,đại học năm 4.
495,địa chỉ nhà ở đâu?,quận 4 tphcm
496,"có chị, anh hay em trong nhà không?",có chị và em.
497,có học đội tuyển học sinh giỏi không?,có
498,học đội tuyển khó không?,có
499,học đổi tuyển học sinh giỏi môn gì?,hóa
500,tính sau này ra làm ngành gì?,CNTT
501,thích làm gì khi rảnh rỗi?,"chơi game, đọc sách, nghe nhạc"
502,thích coi hài không,tương đối thích
503,ngành nào tính đi theo trong tương lai?,Kinh tế
504,quê ở đâu?,Bình Thuận
505,đang sống ở đâu?,Sài Gòn
506,mày tên gì?,Lan
507,bao tuổi,20
508,hiện tại ở đâu?,quận 7
509,ở trọ hay kí túc xá?,trọ
510,quê ở đâu?,Lai Châu
511,tên gì?,Tiến
512,bao tuổi?,22
513,quê quán?,Đồng Tháp
514,số điện thoại?,0792240342
515,có bao nhiêu người trong gia đình?,7 người
516,có mấy anh em?,3
517,Bạn vào làm lâu chưa?,2 năm rồi
518,Bạn tên gì đấy?,Nam
519,Cho mình số bạn để tiện liên lạc nha,0123456789
520,Cảm ơn bạn,Không có gì
521,mày tên gì?,Tùng
522,bao tuổi,21
523,họ và tên,nguyễn Thanh Tùng
524,đang học hay đi làm,đang đi học
525,trường nào,đại học Tôn Đức Thắng
526,mày quê ở đâu,Hà Nội
527,gia đình mày mấy người,bốn người
528,mày là con thứ mấy,con cả
529,mày cao bao nhiêu,một mét tám
530,mày nặng bao nhiêu,65kg
531,mày có sài facebook không,có
532,facebook mày là gì,tungtungtung
533,học ngành nào ?,kỹ thuật phần mềm
534,sinh năm bao nhiêu ?,1999
535,nghề nghiệp là gì ?,sinh viên
536,học ở đâu ?,sài gòn
537,trường tên gì ?,Đại học Tôn Đức Thắng
538,cao mét mấy ?,1 mét 5
539,cân nặng bao nhiêu ?,60 ký
540,có bạn gái chưa ?,rồi
541,thích xem phim không ?,thích
542,gia đình nhiêu người ?,4 người
543,bao nhiêu tuổi ?,18
544,bạn năm mấy ?,4
545,mày tên gì?,Dũng
546,sinh năm bao nhiêu?,2002
547,bao nhiêu tuổi?,19
548,mày sinh ở đâu?,Vĩnh Long
549,con thứ mấy trong gia đình,con út
550,nhóm máu gì?,nhóm máu A
551,sở thích là gì?,chơi game
552,có bạn gái chưa?,chưa
553,học đại học năm mấy?,đại học năm 3
554,có rớt môn chưa?,sắp rớt một môn
555,mày học ở đâu?,học ở TDTU
556,thích ca sĩ nào?,Mỹ Tâm
557,Tên gì?,Huyền
558,Mấy tuổi?,21
559,Quê ở đâu?,Sóc Trăng
560,Học trường gì?,TDTU
561,Ngành gì?,Mạng máy tính và truyền thông dữ liệu
562,mày tên gì?,Hùng
563,bao tuổi,20
564,nghề nghiệp,sinh viên
565,nhiêu tuổi?,20
566,làm gì?,thất nghiệp
567,số điện thoại,0925632541
568,chơi nhạc cụ gì?,guitar
569,quê chỗ nào?,ở An Giang
570,sinh năm bao nhiêu?,2000
571,mày tên gì?,Hùng
572,bao tuổi,20
573,mày thuộc cung gì?,song tử
574,mày sống ở đâu?,Hà Nội
575,thuộc khoa nào?,khoa công nghệ thông tin
576,chiều cao?,1 mét 7
577,cân nặng?,từ chối trả lời
578,tên gì?,Hiếu
579,nhiêu tuổi?,22
580,quê đâu?,Cà Mau
581,làm nghề gì?,sinh viên
582,trường nào?,Tôn Đức Thắng
583,học ngành gì?,Công nghệ thông tin
584,địa chỉ ở đâu?,quận 7
585,nhiêu kí?,75
586,mét mấy?,mét 75
587,nhà nhiêu người?,4
588,bạn tên gì?,mình tên Duy
589,bạn sinh năm bao nhiêu?,mình sinh năm 2000
590,bạn bao nhiêu tuổi?,mình 21 tuổi
591,bạn còn đang đi học không?,mình đang học đại học
592,bạn học trường gì?,mình học trường Tôn Đức Thắng
593,bạn quê ở đâu?,mình quê ở Tiền Giang
594,bạn hiện tại đang ở đâu?,mình đang ở thành phố Hồ Chí Minh
595,nhóc tên gì ?,Bình
596,sinh năm nào ?,2001
597,học ngành gì ?,kỹ thuật phần mềm
598,sơ thích ?,chơi bóng đá
599,nam hay nữ ?,nam
600,mày tên gì?,Hùng
601,bao tuổi,20
602,ở đâu?,Hồ Chí Minh
603,sở thích là gì?,chơi game
604,nghề gì?,sinh viên
605,"Chào, bạn là ai ?",Tôi là Long
606,"Ồ, bạn nhiêu tuổi rồi ?",Tôi nay 21
607,Học đại học à ?,Ừm mình sinh viên năm 3
608,Bạn ở trọ chỗ nào ?,Bên quận Bình tân
609,"Xa đấy, bạn đến trường bằng gì ?",Mình đi xe máy tới
610,Tên gì?,Tên Tiến
611,Bao tuổi?,21
612,Nhà đâu?,Ở Sài Gòn
613,Thích gì?,Đọc sách
614,Đang làm gì?,Sinh viên
615,mày tên gì?,Khoa
616,bao tuổi,20
617,cao,1m79
618,Bạn tên gì?,Lan
619,Mấy tuổi?,15
620,Có người yêu chưa?,chưa
621,làm nghề gì?,công nghệ thông tin
622,làm ở đâu?,Tphcm
623,mày tên gì?,Hùng
624,bao tuổi,20
625,mày tên gì?,Hùng
626,bao tuổi,20
627,Tên là gì?,Duy
628,Sinh năm bao nhiêu?,2000
629,Đến từ đâu?,Trà Vinh
630,Đang làm gì?,Học đại học
631,Học trường nào?,Tôn Đức Thắng
632,Ngành gì?,"IT, Mạng máy tính và Truyền thông dữ liệu"
633,Đang ở đâu?,tp Hồ Chí Minh
634,Khoa nào?,IT
635,Đang sống cùng gia đình hay ở một mình?,Một mình
636,mày tên gì?,Hưng
637,bao tuổi,sinh năm 2001
